Team ID,Name,FIFA Ranking,Historical Performance,Attack_Strength,Defense_Strength,Home_Advantage,CAF_Ranking
1,Morocco,11,"AFCON Winners (1976); Host (2025)",87,85,85,1
2,Senegal,19,"AFCON Winners (2021)",86,84,83,2
3,Egypt,34,"AFCON Winners (7 times; last 2010)",85,84,84,4
4,Algeria,35,"AFCON Winners (1990, 2019)",84,82,82,5
5,Nigeria,38,"AFCON Winners (1980, 1994, 2013)",86,80,81,6
6,Tunisia,40,"AFCON Winners (2004)",82,83,81,3
7,Ivory Coast,42,"AFCON Winners (1992, 2015, 2023)",84,81,85,7
8,Mali,54,"AFCON Runners-up (1972)",81,80,79,9
9,DR Congo,56,"AFCON Winners (1968, 1974)",80,79,78,10
10,Cameroon,57,"AFCON Winners (1984, 1988, 2000, 2002, 2017)",83,81,82,8
11,South Africa,61,"AFCON Winners (1996)",79,78,80,11
12,Burkina Faso,62,"AFCON Runners-up (2013)",78,77,77,12
13,Gabon,78,"Quarter-finals (1996, 2012)",75,76,76,17
14,Uganda,85,"AFCON Runners-up (1978)",74,75,75,15
15,Angola,89,"Quarter-finals (2008, 2010, 2023)",76,74,74,16
16,Zambia,90,"AFCON Winners (2012)",77,75,75,13
17,Benin,92,"Quarter-finals (2019)",73,74,73,18
18,Equatorial Guinea,97,"4th Place (2015)",72,73,74,19
19,Mozambique,102,"Group Stage appearances",70,72,72,20
20,Comoros,108,"Round of 16 (2021)",71,70,73,21
21,Tanzania,112,"Group Stage appearances",69,71,71,22
22,Sudan,118,"AFCON Winners (1970)",68,69,70,23
23,Zimbabwe,129,"Group Stage appearances",67,68,69,24
24,Botswana,138,"Group Stage appearances",65,67,68,14